0,1,2,3,4,Actual_Performance
2.0,3.0,6.0,1050000.0,1024.0,153.92
2.0,2.0,9.0,105000000.0,2048.0,145.76
3.0,1.0,2.0,262000.0,1024.0,266.53
1.0,6.0,6.0,5240000.0,1024.0,75.418
3.0,6.0,1.0,10500000.0,2048.0,365.67
1.0,3.0,1.0,105000000.0,512.0,112.78
3.0,3.0,6.0,1050000.0,512.0,203.13
2.0,2.0,1.0,10500000.0,2048.0,231.9
3.0,3.0,12.0,10500000.0,2048.0,173.45
2.0,6.0,9.0,10500000.0,2048.0,137.48
1.0,1.0,3.0,262000.0,1024.0,77.152
3.0,2.0,2.0,1050000.0,2048.0,272.01
3.0,1.0,3.0,262000.0,1024.0,259.29
1.0,6.0,1.0,10500000.0,512.0,109.33
2.0,3.0,3.0,10500000.0,2048.0,178.65
3.0,6.0,3.0,5240000.0,512.0,218.18
3.0,3.0,9.0,262000.0,2048.0,180.64
1.0,3.0,1.0,262000.0,2048.0,109.16
2.0,2.0,1.0,262000.0,1024.0,246.56
1.0,6.0,1.0,1050000.0,1024.0,114.01
3.0,1.0,1.0,5240000.0,2048.0,387.38
3.0,3.0,6.0,10500000.0,1024.0,196.48
2.0,1.0,9.0,262000.0,512.0,150.8
2.0,1.0,6.0,5240000.0,512.0,153.92
3.0,2.0,9.0,105000000.0,1024.0,203.06
3.0,1.0,3.0,5240000.0,1024.0,256.13
1.0,6.0,1.0,105000000.0,1024.0,109.87
3.0,3.0,9.0,105000000.0,512.0,189.3
1.0,2.0,6.0,5240000.0,512.0,57.059
1.0,6.0,3.0,262000.0,512.0,80.408
3.0,3.0,9.0,105000000.0,2048.0,184.63
3.0,2.0,9.0,262000.0,1024.0,196.52
2.0,1.0,12.0,262000.0,2048.0,145.04
2.0,6.0,9.0,1050000.0,512.0,146.22
3.0,1.0,6.0,262000.0,2048.0,248.13
3.0,3.0,1.0,262000.0,2048.0,352.64
3.0,2.0,9.0,10500000.0,512.0,203.83
2.0,1.0,2.0,262000.0,1024.0,186.79
1.0,1.0,2.0,105000000.0,512.0,89.199
2.0,2.0,2.0,262000.0,2048.0,162.83
2.0,1.0,1.0,5240000.0,512.0,251.14
2.0,6.0,3.0,1050000.0,2048.0,164.9
3.0,6.0,6.0,105000000.0,1024.0,196.87
3.0,3.0,1.0,105000000.0,1024.0,382.76
1.0,6.0,3.0,262000.0,1024.0,78.982
3.0,1.0,9.0,105000000.0,1024.0,240.34
1.0,6.0,2.0,10500000.0,1024.0,82.823
2.0,1.0,3.0,1050000.0,1024.0,154.68
3.0,1.0,2.0,10500000.0,2048.0,263.6
2.0,6.0,2.0,5240000.0,1024.0,169.76
1.0,1.0,12.0,5240000.0,512.0,63.972
1.0,2.0,2.0,5240000.0,512.0,85.49600000000002
3.0,3.0,2.0,105000000.0,2048.0,257.28
1.0,1.0,6.0,262000.0,2048.0,71.818
3.0,6.0,6.0,10500000.0,512.0,197.87
2.0,3.0,2.0,262000.0,512.0,173.82
2.0,2.0,1.0,5240000.0,2048.0,238.33
1.0,3.0,9.0,10500000.0,512.0,72.372
2.0,3.0,3.0,1050000.0,512.0,166.26
3.0,2.0,2.0,105000000.0,2048.0,261.59
3.0,3.0,1.0,1050000.0,2048.0,373.86
2.0,2.0,9.0,1050000.0,512.0,141.85
1.0,2.0,1.0,10500000.0,1024.0,124.77
3.0,2.0,3.0,1050000.0,2048.0,244.31
2.0,3.0,6.0,262000.0,2048.0,152.37
3.0,1.0,1.0,262000.0,1024.0,379.24
2.0,3.0,3.0,105000000.0,2048.0,165.54
2.0,2.0,1.0,5240000.0,512.0,245.2
1.0,6.0,12.0,1050000.0,2048.0,66.109
3.0,6.0,2.0,105000000.0,2048.0,248.1
2.0,2.0,6.0,262000.0,512.0,153.82
2.0,6.0,9.0,5240000.0,512.0,139.76
2.0,3.0,2.0,10500000.0,1024.0,169.11
2.0,1.0,2.0,5240000.0,512.0,179.53
2.0,2.0,12.0,1050000.0,2048.0,135.47
3.0,3.0,2.0,10500000.0,1024.0,263.14
3.0,3.0,9.0,10500000.0,512.0,190.43
1.0,3.0,1.0,5240000.0,1024.0,110.74
3.0,2.0,3.0,5240000.0,1024.0,245.09
1.0,6.0,2.0,105000000.0,512.0,82.671
3.0,1.0,12.0,1050000.0,1024.0,244.31
1.0,6.0,9.0,10500000.0,1024.0,70.041
1.0,3.0,1.0,262000.0,512.0,114.51
3.0,3.0,2.0,5240000.0,2048.0,263.58
2.0,1.0,12.0,10500000.0,512.0,144.86
1.0,3.0,6.0,5240000.0,512.0,72.203
2.0,1.0,12.0,105000000.0,512.0,152.14
1.0,6.0,1.0,10500000.0,2048.0,110.88
1.0,6.0,12.0,105000000.0,512.0,68.497
1.0,1.0,9.0,10500000.0,512.0,64.194
1.0,2.0,2.0,10500000.0,2048.0,87.62
2.0,3.0,2.0,262000.0,2048.0,172.61
1.0,3.0,1.0,1050000.0,512.0,111.33
1.0,1.0,12.0,10500000.0,1024.0,64.789
2.0,3.0,2.0,10500000.0,2048.0,173.52
2.0,3.0,12.0,5240000.0,2048.0,133.22
2.0,2.0,12.0,10500000.0,2048.0,142.43
2.0,6.0,12.0,262000.0,512.0,131.78
1.0,2.0,3.0,1050000.0,512.0,67.328
3.0,6.0,2.0,262000.0,1024.0,247.0
2.0,6.0,1.0,10500000.0,512.0,197.19
1.0,6.0,12.0,10500000.0,512.0,70.402
1.0,3.0,3.0,5240000.0,512.0,79.583
1.0,3.0,9.0,1050000.0,2048.0,76.017
1.0,6.0,6.0,262000.0,1024.0,73.832
1.0,3.0,9.0,105000000.0,1024.0,80.847
2.0,2.0,9.0,5240000.0,1024.0,145.34
3.0,3.0,6.0,262000.0,1024.0,203.43
3.0,3.0,12.0,1050000.0,1024.0,167.39
1.0,1.0,1.0,10500000.0,2048.0,102.73
1.0,2.0,1.0,105000000.0,2048.0,127.93
1.0,6.0,3.0,1050000.0,2048.0,79.89
1.0,2.0,9.0,262000.0,2048.0,47.622
2.0,3.0,3.0,1050000.0,1024.0,169.37
1.0,2.0,2.0,262000.0,1024.0,85.93
3.0,1.0,3.0,105000000.0,1024.0,259.01
3.0,6.0,3.0,262000.0,512.0,219.15
1.0,1.0,3.0,5240000.0,512.0,76.212
2.0,2.0,9.0,5240000.0,2048.0,143.35
1.0,1.0,9.0,5240000.0,1024.0,65.498
3.0,1.0,1.0,105000000.0,1024.0,375.15
1.0,3.0,2.0,105000000.0,512.0,83.214
3.0,2.0,2.0,1050000.0,512.0,257.83
3.0,6.0,6.0,105000000.0,2048.0,199.75
1.0,6.0,1.0,10500000.0,1024.0,113.06
1.0,6.0,9.0,105000000.0,512.0,70.733
3.0,2.0,3.0,10500000.0,1024.0,238.06
3.0,6.0,1.0,105000000.0,1024.0,361.36
1.0,2.0,12.0,10500000.0,512.0,48.45
2.0,2.0,3.0,5240000.0,1024.0,165.57
1.0,6.0,2.0,5240000.0,1024.0,78.883
2.0,1.0,2.0,262000.0,2048.0,179.17
3.0,1.0,9.0,10500000.0,2048.0,251.28
1.0,3.0,12.0,262000.0,1024.0,77.264
3.0,2.0,1.0,105000000.0,512.0,357.55
2.0,2.0,6.0,10500000.0,1024.0,150.98
3.0,3.0,6.0,5240000.0,2048.0,198.63
2.0,3.0,9.0,262000.0,2048.0,141.78
2.0,6.0,6.0,105000000.0,2048.0,145.75
2.0,2.0,6.0,1050000.0,1024.0,154.87
2.0,6.0,2.0,1050000.0,1024.0,177.01
3.0,2.0,12.0,5240000.0,512.0,200.74
2.0,3.0,6.0,10500000.0,512.0,153.7
1.0,3.0,2.0,10500000.0,1024.0,82.684
2.0,3.0,6.0,1050000.0,1024.0,153.92
2.0,2.0,9.0,105000000.0,2048.0,145.76
3.0,1.0,2.0,262000.0,1024.0,266.53
1.0,6.0,6.0,5240000.0,1024.0,75.418
3.0,6.0,1.0,10500000.0,2048.0,365.67
1.0,3.0,1.0,105000000.0,512.0,112.78
3.0,3.0,6.0,1050000.0,512.0,203.13
2.0,2.0,1.0,10500000.0,2048.0,231.9
3.0,3.0,12.0,10500000.0,2048.0,173.45
2.0,6.0,9.0,10500000.0,2048.0,137.48
1.0,1.0,3.0,262000.0,1024.0,77.152
3.0,2.0,2.0,1050000.0,2048.0,272.01
3.0,1.0,3.0,262000.0,1024.0,259.29
1.0,6.0,1.0,10500000.0,512.0,109.33
2.0,3.0,3.0,10500000.0,2048.0,178.65
3.0,6.0,3.0,5240000.0,512.0,218.18
3.0,3.0,9.0,262000.0,2048.0,180.64
1.0,3.0,1.0,262000.0,2048.0,109.16
2.0,2.0,1.0,262000.0,1024.0,246.56
1.0,6.0,1.0,1050000.0,1024.0,114.01
3.0,1.0,1.0,5240000.0,2048.0,387.38
3.0,3.0,6.0,10500000.0,1024.0,196.48
2.0,1.0,9.0,262000.0,512.0,150.8
2.0,1.0,6.0,5240000.0,512.0,153.92
3.0,2.0,9.0,105000000.0,1024.0,203.06
3.0,1.0,3.0,5240000.0,1024.0,256.13
1.0,6.0,1.0,105000000.0,1024.0,109.87
3.0,3.0,9.0,105000000.0,512.0,189.3
1.0,2.0,6.0,5240000.0,512.0,57.059
1.0,6.0,3.0,262000.0,512.0,80.408
3.0,3.0,9.0,105000000.0,2048.0,184.63
3.0,2.0,9.0,262000.0,1024.0,196.52
2.0,1.0,12.0,262000.0,2048.0,145.04
2.0,6.0,9.0,1050000.0,512.0,146.22
3.0,1.0,6.0,262000.0,2048.0,248.13
3.0,3.0,1.0,262000.0,2048.0,352.64
3.0,2.0,9.0,10500000.0,512.0,203.83
2.0,1.0,2.0,262000.0,1024.0,186.79
1.0,1.0,2.0,105000000.0,512.0,89.199
2.0,2.0,2.0,262000.0,2048.0,162.83
2.0,1.0,1.0,5240000.0,512.0,251.14
2.0,6.0,3.0,1050000.0,2048.0,164.9
3.0,6.0,6.0,105000000.0,1024.0,196.87
3.0,3.0,1.0,105000000.0,1024.0,382.76
1.0,6.0,3.0,262000.0,1024.0,78.982
3.0,1.0,9.0,105000000.0,1024.0,240.34
1.0,6.0,2.0,10500000.0,1024.0,82.823
2.0,1.0,3.0,1050000.0,1024.0,154.68
3.0,1.0,2.0,10500000.0,2048.0,263.6
2.0,6.0,2.0,5240000.0,1024.0,169.76
1.0,1.0,12.0,5240000.0,512.0,63.972
1.0,2.0,2.0,5240000.0,512.0,85.49600000000002
3.0,3.0,2.0,105000000.0,2048.0,257.28
1.0,1.0,6.0,262000.0,2048.0,71.818
3.0,6.0,6.0,10500000.0,512.0,197.87
2.0,3.0,2.0,262000.0,512.0,173.82
2.0,2.0,1.0,5240000.0,2048.0,238.33
1.0,3.0,9.0,10500000.0,512.0,72.372
2.0,3.0,3.0,1050000.0,512.0,166.26
3.0,2.0,2.0,105000000.0,2048.0,261.59
3.0,3.0,1.0,1050000.0,2048.0,373.86
2.0,2.0,9.0,1050000.0,512.0,141.85
1.0,2.0,1.0,10500000.0,1024.0,124.77
3.0,2.0,3.0,1050000.0,2048.0,244.31
2.0,3.0,6.0,262000.0,2048.0,152.37
3.0,1.0,1.0,262000.0,1024.0,379.24
2.0,3.0,3.0,105000000.0,2048.0,165.54
2.0,2.0,1.0,5240000.0,512.0,245.2
1.0,6.0,12.0,1050000.0,2048.0,66.109
3.0,6.0,2.0,105000000.0,2048.0,248.1
2.0,2.0,6.0,262000.0,512.0,153.82
2.0,6.0,9.0,5240000.0,512.0,139.76
2.0,3.0,2.0,10500000.0,1024.0,169.11
2.0,1.0,2.0,5240000.0,512.0,179.53
2.0,2.0,12.0,1050000.0,2048.0,135.47
3.0,3.0,2.0,10500000.0,1024.0,263.14
3.0,3.0,9.0,10500000.0,512.0,190.43
1.0,3.0,1.0,5240000.0,1024.0,110.74
3.0,2.0,3.0,5240000.0,1024.0,245.09
