spouts,max_spout,spout_wait,spliters,counters,netty_min_wait,$<throughput
1,1,2,1,12,100,51.65556072111163
1,1,2,1,12,1000,54.69262743382192
1,1,2,2,1,10,46.913116907487336
1,1,2,2,1,100,47.49691270067446
1,1,2,2,1,1000,48.945230287308505
1,1,2,2,3,10,49.38759383642829
1,1,2,2,3,100,48.550759819391175
1,1,2,2,3,1000,51.8000518000518
1,1,2,2,6,10,51.9777535214928
1,1,2,2,6,100,51.68492867479843
1,1,2,2,6,1000,49.945060433523125
1,1,2,2,12,10,52.69814502529511
1,1,2,2,12,100,53.231129564569365
1,1,2,2,12,1000,53.960716598316424
1,1,2,3,1,10,45.55601111566671
1,1,2,3,1,100,45.073469755701794
1,1,2,3,1,1000,45.89682393978336
1,1,2,3,3,10,42.955326460481096
1,1,2,3,3,100,43.552110099734335
1,1,2,3,3,1000,43.49906477010744
1,1,2,3,6,10,44.54739843193157
1,1,2,3,6,100,44.02377283733216
1,1,2,3,6,1000,44.464206313917295
1,1,2,3,12,10,44.75073838718339
1,1,2,3,12,100,45.5414882958375
1,1,2,3,12,1000,43.91936404760859
1,1,2,6,1,10,45.138575426559534
1,1,2,6,1,100,44.9195939268709
1,1,2,6,1,1000,45.726827929946495
1,1,2,6,3,10,42.93503928556095
1,1,2,6,3,100,43.30504070673827
1,1,2,6,3,1000,42.883485569707105
1,1,2,6,6,10,45.34119247336205
1,1,2,6,6,100,43.36137368831845
1,1,2,6,6,1000,44.82495853691335
1,1,2,6,12,10,43.26756663205261
1,1,2,6,12,100,44.94786048184106
1,1,2,6,12,1000,43.04037186881295
1,1,3,1,1,10,63.05567816381865
1,1,3,1,1,100,64.15602745877975
1,1,3,1,1,1000,59.378896740098575
1,1,3,1,3,10,61.713157245124656
1,1,3,1,3,100,61.24073733847755
1,1,3,1,3,1000,61.54224875376946
1,1,3,1,6,10,59.898173105720275
1,1,3,1,6,100,62.04243702692642
1,1,3,1,6,1000,63.50819255683984
1,1,3,1,12,10,63.767376610126256
1,1,3,1,12,100,61.84291898577613
1,1,3,1,12,1000,61.610498428932296
1,1,3,2,1,10,54.51373746184038
1,1,3,2,1,100,58.4009811364831
1,1,3,2,1,1000,56.233481414834394
1,1,3,2,3,10,59.467174119885826
1,1,3,2,3,100,56.90224194833276
1,1,3,2,3,1000,58.346461287122935
1,1,3,2,6,10,64.05739542630197
1,1,3,2,6,100,60.39376736320812
1,1,3,2,6,1000,62.51562890722681
1,1,3,2,12,10,60.72382803011902
1,1,3,2,12,100,59.491938842286864
1,1,3,2,12,1000,61.60670280926565
1,1,3,3,1,10,47.49465685110425
1,1,3,3,1,100,47.180938900684126
1,1,3,3,1,1000,47.48789058790008
1,1,3,3,3,10,49.746293901104366
1,1,3,3,3,100,46.700602437771444
1,1,3,3,3,1000,45.533193698206
1,1,3,3,6,10,47.359696897939855
1,1,3,3,6,100,47.29697772312349
1,1,3,3,6,1000,48.23693984853601
1,1,3,3,12,10,52.42189138184106
1,1,3,3,12,100,53.31627212625293
1,1,3,3,12,1000,50.52801778586226
1,1,3,6,1,10,46.44466118619665
1,1,3,6,1,100,46.55926995064717
1,1,3,6,1,1000,44.91152429713465
1,1,3,6,3,10,47.510452299505886
1,1,3,6,3,100,47.84460073680685
1,1,3,6,3,1000,46.71150971599402
1,1,3,6,6,10,51.17445371270662
1,1,3,6,6,100,49.71414367387522
1,1,3,6,6,1000,50.99959200326398
1,1,3,6,12,10,51.45356315924878
1,1,3,6,12,100,50.3068719187041
1,1,3,6,12,1000,51.45091582630171
1,1,10,1,1,10,104.70546353108706
1,1,10,1,1,100,106.73042030439515
1,1,10,1,1,1000,111.46780809702157
1,1,10,1,3,10,111.43178703156863
1,1,10,1,3,100,113.91078507313073
1,1,10,1,3,1000,110.81805891088011
1,1,10,1,6,10,108.76540390032739
1,1,10,1,6,100,116.67794553473503
1,1,10,1,6,1000,108.02052389954092
1,1,10,1,12,10,111.01736311559128
1,1,10,1,12,100,113.37868480725623
1,1,10,1,12,1000,108.59178177395535
1,1,10,2,1,10,109.02153175252113
1,1,10,2,1,100,113.05055620873655
1,1,10,2,1,1000,110.84999778300005
1,1,10,2,3,10,115.04302609175832
1,1,10,2,3,100,110.81437484070435
1,1,10,2,3,1000,111.89311969207013
1,1,10,2,6,10,112.34440300184245
1,1,10,2,6,100,107.70755245357803
1,1,10,2,6,1000,114.0575990875392
1,1,10,2,12,10,105.28421473768438
1,1,10,2,12,100,118.80576445569139
1,1,10,2,12,1000,111.26440874093196
1,1,10,3,1,10,111.87934930970441
1,1,10,3,1,100,111.49017771534326
1,1,10,3,1,1000,108.84235273629675
1,1,10,3,3,10,108.98826196418646
1,1,10,3,3,100,112.39617403423587
1,1,10,3,3,1000,109.64912280701755
1,1,10,3,6,10,108.03919662053393
1,1,10,3,6,100,109.2478286994046
1,1,10,3,6,1000,110.89548100914888
1,1,10,3,12,10,120.32825548095205
1,1,10,3,12,100,115.34025374855824
1,1,10,3,12,1000,105.89742775147992
1,1,10,6,1,10,115.50545185732767
1,1,10,6,1,100,113.97959765202029
1,1,10,6,1,1000,112.32925952552121
1,1,10,6,3,10,108.74056675583392
1,1,10,6,3,100,111.39703015517605
1,1,10,6,3,1000,108.73229022822908
1,1,10,6,6,10,112.26494527083918
1,1,10,6,6,100,105.28310627276747
1,1,10,6,6,1000,108.82103292924455
1,1,10,6,12,10,106.7167523957911
1,1,10,6,12,100,107.10192890573958
1,1,10,6,12,1000,105.29086601737299
1,1,100,1,1,10,1118.4181094260277
1,1,100,1,1,100,1111.8399839895042
1,1,100,1,1,1000,969.7439875872769
1,1,100,1,3,10,1078.8883134817886
1,1,100,1,3,100,1103.8989711661588
1,1,100,1,3,1000,1135.5635802048555
1,1,100,1,6,10,1036.2694300518135
1,1,100,1,6,100,1104.2158962920428
1,1,100,1,6,1000,1057.2165602401997
1,1,100,1,12,10,998.8014382740711
1,1,100,1,12,100,1111.8399839895042
1,1,100,1,12,1000,1108.03324099723
1,1,100,2,1,10,1021.6382991765595
1,1,100,2,1,100,1130.313888166744
1,1,100,2,1,1000,1051.2483574244416
1,1,100,2,3,10,1055.4089709762534
1,1,100,2,3,100,1039.7604391948096
1,1,100,2,3,1000,1221.269631909333
1,1,100,2,6,10,1122.8511436238898
1,1,100,2,6,100,931.0120100549298
1,1,100,2,6,1000,1183.0259437589466
1,1,100,2,12,10,1166.7794553473502
1,1,100,2,12,100,1015.5274141625453
1,1,100,2,12,1000,1085.5641676979526
1,1,100,3,1,10,1116.9565168827978
1,1,100,3,1,100,1003.7641154328733
1,1,100,3,1,1000,987.2642906506071
1,1,100,3,3,10,1222.314574878991
1,1,100,3,3,100,1196.3439728190651
1,1,100,3,3,1000,976.1811792268645
1,1,100,3,6,10,1030.3011570281994
1,1,100,3,6,100,1061.1768451212395
1,1,100,3,6,1000,1060.5128640210405
1,1,100,3,12,10,1061.1768451212395
1,1,100,3,12,100,1374.570446735395
1,1,100,3,12,1000,959.2326139088728
1,1,100,6,1,10,1213.4155220113576
1,1,100,6,1,100,972.0062208398134
1,1,100,6,1,1000,1146.3288817561759
1,1,100,6,3,10,999.4003597841295
1,1,100,6,3,100,1141.2268188302426
1,1,100,6,3,1000,1039.7604391948096
1,1,100,6,6,10,1131.823480809933
1,1,100,6,6,100,937.2949667260287
1,1,100,6,6,1000,1269.8412698412699
1,1,100,6,12,10,1099.6503112010382
1,1,100,6,12,100,1014.9296146312254
1,1,100,6,12,1000,1091.1431907209183
1,2,1,1,1,10,24.849659559664033
1,2,1,1,1,100,25.99090318388564
1,2,1,1,1,1000,24.58573044205143
1,2,1,1,3,10,23.430178069353328
1,2,1,1,3,100,23.236360256529416
1,2,1,1,3,1000,23.48796241926013
1,2,1,1,6,10,24.535060601599685
1,2,1,1,6,100,24.386675120714038
1,2,1,1,6,1000,24.259479391572256
1,2,1,1,12,10,25.280614824552533
1,2,1,1,12,100,25.4841997961264
1,2,1,1,12,1000,23.432374168150716
1,2,1,2,1,10,20.86463027875146
1,2,1,2,1,100,20.82248828735034
1,2,1,2,1,1000,20.939777200770582
1,2,1,2,3,10,24.114980225716213
1,2,1,2,3,100,23.482446870963955
1,2,1,2,3,1000,25.09473261562398
1,2,1,2,6,10,24.002688301089723
1,2,1,2,6,100,24.308425300209052
1,2,1,2,6,1000,24.458249767646628
1,2,1,2,12,10,23.6412208326438
1,2,1,2,12,100,24.191987613702338
1,2,1,2,12,1000,24.39917042820544
1,2,1,3,1,10,21.524354807464647
1,2,1,3,1,100,21.479047189466677
1,2,1,3,1,1000,21.23097174157661
1,2,1,3,3,10,19.28045347626576
1,2,1,3,3,100,18.518175589340938
1,2,1,3,3,1000,18.69019138755981
1,2,1,3,6,10,20.11384435907235
1,2,1,3,6,100,19.92269992429374
1,2,1,3,6,1000,19.33562782783557
1,2,1,3,12,10,20.108182019263637
1,2,1,3,12,100,20.161696808403395
1,2,1,3,12,1000,20.226946337911368
1,2,1,6,1,10,21.06726778604083
1,2,1,6,1,100,21.04288540044611
1,2,1,6,1,1000,21.2521783482807
1,2,1,6,3,10,19.337871287128714
1,2,1,6,3,100,18.67797306636284
1,2,1,6,3,1000,19.391870927707103
1,2,1,6,6,10,19.671873155761894
1,2,1,6,6,100,20.436524155971554
1,2,1,6,6,1000,19.236688211757464
1,2,1,6,12,10,20.565552699228792
1,2,1,6,12,100,20.55413960371619
1,2,1,6,12,1000,19.979221609526093
1,2,2,1,1,10,28.875028875028878
1,2,2,1,1,100,28.24380048579337
1,2,2,1,1,1000,27.61820592134335
1,2,2,1,3,10,26.978902498246374
1,2,2,1,3,100,27.291831554815644
1,2,2,1,3,1000,27.26430012541578
1,2,2,1,6,10,27.27173557325188
1,2,2,1,6,100,28.172188415596125
1,2,2,1,6,1000,28.607392150131595
1,2,2,1,12,10,29.889111396718178
1,2,2,1,12,100,29.19367081216792
1,2,2,1,12,1000,29.898047657487968
1,2,2,2,1,10,26.415194019600076
1,2,2,2,1,100,24.556750650753894
1,2,2,2,1,1000,24.44868221602856
1,2,2,2,3,10,25.963236057742236
1,2,2,2,3,100,26.83411152256749
1,2,2,2,3,1000,25.801790644270714
1,2,2,2,6,10,25.915463757223936
1,2,2,2,6,100,26.955631031322444
1,2,2,2,6,1000,27.108352083276856
1,2,2,2,12,10,26.61131513119378
1,2,2,2,12,100,28.000224001792013
1,2,2,2,12,1000,27.35529051318525
1,2,2,3,1,10,24.968789013732835
1,2,2,3,1,100,25.58133585735847
1,2,2,3,1,1000,26.629740093736686
1,2,2,3,3,10,23.486859102332247
1,2,2,3,3,100,23.273133494693724
1,2,2,3,3,1000,22.926314824155163
1,2,2,3,6,10,24.114980225716213
1,2,2,3,6,100,23.735491680710165
1,2,2,3,6,1000,24.927088266819553
1,2,2,3,12,10,24.395003903200625
1,2,2,3,12,100,24.723712512670904
1,2,2,3,12,1000,23.99174683908735
1,2,2,6,1,10,25.638396061942363
1,2,2,6,1,100,25.491345688138875
1,2,2,6,1,1000,25.833785424578263
1,2,2,6,3,10,24.62811545660526
1,2,2,6,3,100,24.18847660974312
1,2,2,6,3,1000,23.787435476581273
1,2,2,6,6,10,24.607510212116736
1,2,2,6,6,100,25.225770647293277
1,2,2,6,6,1000,24.99687539057618
1,2,2,6,12,10,25.079627818323175
1,2,2,6,12,100,25.033168948857238
1,2,2,6,12,1000,24.463036352072017
1,2,3,1,1,10,33.79063323646685
1,2,3,1,1,100,33.930510314875136
1,2,3,1,1,1000,33.32666799973339
1,2,3,1,3,10,31.4001318805539
1,2,3,1,3,100,34.695718548331136
1,2,3,1,3,1000,31.890805880664605
1,2,3,1,6,10,33.2236951393734
1,2,3,1,6,100,32.97283038776048
1,2,3,1,6,1000,33.89600705036947
1,2,3,1,12,10,33.535665179918844
1,2,3,1,12,100,33.93166163347019
1,2,3,1,12,1000,32.45067497403946
1,2,3,2,1,10,27.77469170092212
1,2,3,2,1,100,31.53479865031062
1,2,3,2,1,1000,28.25497287522604
1,2,3,2,3,10,30.31497256494983
1,2,3,2,3,100,30.908079371947828
1,2,3,2,3,1000,30.118667550147585
1,2,3,2,6,10,30.70592931495072
1,2,3,2,6,100,30.175925646519207
1,2,3,2,6,1000,30.91859134897814
1,2,3,2,12,10,32.33525189161224
1,2,3,2,12,100,32.436991144701416
1,2,3,2,12,1000,32.44435792615664
1,2,3,3,1,10,28.46894038603883
1,2,3,3,1,100,28.637704401615167
1,2,3,3,1,1000,28.70264064293915
1,2,3,3,3,10,27.404017428955086
1,2,3,3,3,100,27.37026494416466
1,2,3,3,3,1000,27.99395330608589
1,2,3,3,6,10,27.35603884557516
1,2,3,3,6,100,28.393764729265452
1,2,3,3,6,1000,28.356727633631078
1,2,3,3,12,10,29.448141822251014
1,2,3,3,12,100,30.057108506161708
1,2,3,3,12,1000,28.521719289238757
1,2,3,6,1,10,30.022817341179294
1,2,3,6,1,100,29.628751740689165
1,2,3,6,1,1000,30.09328919650918
1,2,3,6,3,10,28.47218267752406
1,2,3,6,3,100,27.407772844378666
1,2,3,6,3,1000,27.567955009097425
1,2,3,6,6,10,29.51071238859706
1,2,3,6,6,100,29.02926149558755
1,2,3,6,6,1000,29.911462072266094
1,2,3,6,12,10,29.859659599880562
1,2,3,6,12,100,28.667259123355215
1,2,3,6,12,1000,31.256837433188508
1,2,10,1,1,10,55.184592461784675
1,2,10,1,1,100,56.141926790927464
1,2,10,1,1,1000,60.01680470531749
1,2,10,1,3,10,54.01026194977046
1,2,10,1,3,100,56.299966220020266
1,2,10,1,3,1000,55.45389009038984
1,2,10,1,6,10,56.78269263528477
1,2,10,1,6,100,57.18860802928057
1,2,10,1,6,1000,56.769798467215445
1,2,10,1,12,10,56.30313608467992
1,2,10,1,12,100,53.96362851438131
1,2,10,1,12,1000,57.82017924255565
1,2,10,2,1,10,55.438518682780796
1,2,10,2,1,100,54.96015388843089
1,2,10,2,1,1000,55.54321261941791
1,2,10,2,3,10,56.996295240809346
1,2,10,2,3,100,55.98477214197738
1,2,10,2,3,1000,54.054054054054056
1,2,10,2,6,10,55.78489345085351
1,2,10,2,6,100,56.43977875606728
1,2,10,2,6,1000,60.161232102033445
1,2,10,2,12,10,54.38329345225147
1,2,10,2,12,100,58.04504295333179
1,2,10,2,12,1000,58.041673921875905
1,2,10,3,1,10,59.74072525240456
1,2,10,3,1,100,56.21767483696875
1,2,10,3,1,1000,60.551014229488345
1,2,10,3,3,10,55.172413793103445
1,2,10,3,3,100,54.90885130683066
1,2,10,3,3,1000,56.423856006319475
1,2,10,3,6,10,54.69262743382192
1,2,10,3,6,100,54.41288497116117
1,2,10,3,6,1000,57.1787981016639
1,2,10,3,12,10,55.33115697449234
1,2,10,3,12,100,55.28527200353826
1,2,10,3,12,1000,57.67677932864229
1,2,10,6,1,10,56.11357387352001
1,2,10,6,1,100,57.08414202534536
1,2,10,6,1,1000,55.685488361732936
1,2,10,6,3,10,54.74952094169176
1,2,10,6,3,100,54.14771496642842
1,2,10,6,3,1000,55.89402492873512
1,2,10,6,6,10,55.215062669096135
1,2,10,6,6,100,56.50675255693055
1,2,10,6,6,1000,56.5642853102551
1,2,10,6,12,10,56.3666084211713
1,2,10,6,12,100,55.0357732526142
1,2,10,6,12,1000,55.55246930726071
1,2,100,1,1,10,506.32911392405066
1,2,100,1,1,100,549.6317467296911
1,2,100,1,1,1000,572.2133211261158
1,2,100,1,3,10,489.14106828409314
1,2,100,1,3,100,503.77833753148616
1,2,100,1,3,1000,544.8700484934343
1,2,100,1,6,10,506.636943965954
1,2,100,1,6,100,531.0392438001169
1,2,100,1,6,1000,579.5085767269355
1,2,100,1,12,10,550.8731339172589
1,2,100,1,12,100,509.580105992662
1,2,100,1,12,1000,518.1347150259068
1,2,100,2,1,10,533.4186803221849
1,2,100,2,1,100,558.659217877095
1,2,100,2,1,1000,546.8066491688539
1,2,100,2,3,10,537.8078950198989
1,2,100,2,3,100,548.5764441274891
1,2,100,2,3,1000,506.0216577269507
1,2,100,2,6,10,564.3977875606728
1,2,100,2,6,100,560.0358422939069
1,2,100,2,6,1000,522.7118289686896
1,2,100,2,12,10,473.66426676771505
1,2,100,2,12,100,520.3455094182538
1,2,100,2,12,1000,530.5039787798408
1,2,100,3,1,10,579.0052689479473
1,2,100,3,1,100,526.1496369567504
1,2,100,3,1,1000,547.3154178753215
1,2,100,3,3,10,535.8482477762298
1,2,100,3,3,100,537.2877713303245
1,2,100,3,3,1000,523.5602094240837
1,2,100,3,6,10,502.51256281407035
1,2,100,3,6,100,510.0479445067836
1,2,100,3,6,1000,542.917639394104
1,2,100,3,12,10,568.5694791903571
1,2,100,3,12,100,584.59020226821
1,2,100,3,12,1000,549.8130635583901
1,2,100,6,1,10,512.8205128205128
1,2,100,6,1,100,505.94485201113076
1,2,100,6,1,1000,473.2383701670531
1,2,100,6,3,10,490.6289863605142
1,2,100,6,3,100,555.926173004225
1,2,100,6,3,1000,517.9736869367036
1,2,100,6,6,10,514.9595756733097
1,2,100,6,6,100,570.645971239443
1,2,100,6,6,1000,549.4505494505495
1,2,100,6,12,10,510.82958724969353
1,2,100,6,12,100,609.3102607847916
1,2,100,6,12,1000,496.8944099378882
1,10,1,1,1,10,11.005095359151285
1,10,1,1,1,100,11.348805538217103
1,10,1,1,1,1000,10.745062643715212
1,10,1,1,3,10,8.413259296651523
1,10,1,1,3,100,8.191349934469201
1,10,1,1,3,1000,8.279516476237788
1,10,1,1,6,10,8.62217623728229
1,10,1,1,6,100,8.689607229753214
1,10,1,1,6,1000,9.29022668153103
1,10,1,1,12,10,9.304922303898762
1,10,1,1,12,100,9.298865538404314
1,10,1,1,12,1000,9.4553706505295
1,10,1,2,1,10,9.262689885142645
1,10,1,2,1,100,8.60733344809778
1,10,1,2,1,1000,8.880994671403197
1,10,1,2,3,10,7.557436517533253
1,10,1,2,3,100,7.65345170671973
1,10,1,2,3,1000,7.400281210686006
1,10,1,2,6,10,8.282259400364419
1,10,1,2,6,100,8.152616990053808
1,10,1,2,6,1000,7.971303308090873
1,10,1,2,12,10,9.353661958656813
1,10,1,2,12,100,8.634087376964255
1,10,1,2,12,1000,8.548469823901522
1,10,1,3,1,10,10.83141978250509
1,10,1,3,1,100,11.0998878911323
1,10,1,3,1,1000,11.155609598286498
1,10,1,3,3,10,7.541478129713424
1,10,1,3,3,100,7.796055196070788
1,10,1,3,3,1000,7.410701052319549
1,10,1,3,6,10,7.385524372230428
1,10,1,3,6,100,7.396996819291368
1,10,1,3,6,1000,7.299802905321556
1,10,1,3,12,10,7.72141147401745
1,10,1,3,12,100,7.79423226812159
1,10,1,3,12,1000,7.779074290159471
1,10,1,6,1,10,10.590527831907142
1,10,1,6,1,100,10.97297356610668
1,10,1,6,1,1000,10.724090597117366
1,10,1,6,3,10,7.920792079207921
1,10,1,6,3,100,7.396449704142012
1,10,1,6,3,1000,7.362685907819173
1,10,1,6,6,10,6.993496048674732
1,10,1,6,6,100,7.270083605961468
1,10,1,6,6,1000,7.357810315650062
1,10,1,6,12,10,7.571168988491823
1,10,1,6,12,100,7.369739848183359
1,10,1,6,12,1000,7.987858455148174
1,10,2,1,1,10,11.587216982225208
1,10,2,1,1,100,11.436413540713632
1,10,2,1,1,1000,11.597161014983532
1,10,2,1,3,10,7.975117632985087
1,10,2,1,3,100,7.947862025115244
1,10,2,1,3,1000,8.191349934469201
1,10,2,1,6,10,8.281573498964804
1,10,2,1,6,100,8.369601606963508
1,10,2,1,6,1000,8.589589417625838
1,10,2,1,12,10,8.903133903133902
1,10,2,1,12,100,8.712319219376198
1,10,2,1,12,1000,9.112447603426281
1,10,2,2,1,10,9.399379640943698
1,10,2,2,1,100,9.23446301597562
1,10,2,2,1,1000,9.493070058857034
1,10,2,2,3,10,7.811279487580066
1,10,2,2,3,100,8.10307106393323
1,10,2,2,3,1000,7.824113919098662
1,10,2,2,6,10,8.403361344537815
1,10,2,2,6,100,8.457374830852503
1,10,2,2,6,1000,8.526603001364256
1,10,2,2,12,10,9.039139473922083
1,10,2,2,12,100,8.634832915983075
1,10,2,2,12,1000,9.002520705797624
1,10,2,3,1,10,11.653517614291873
1,10,2,3,1,100,11.081560283687944
1,10,2,3,1,1000,10.708357873320127
1,10,2,3,3,10,8.054123711340207
1,10,2,3,3,100,7.957981855801369
1,10,2,3,3,1000,7.833920877399138
1,10,2,3,6,10,7.8425221551250885
1,10,2,3,6,100,8.025038118931064
1,10,2,3,6,1000,7.527853056308341
1,10,2,3,12,10,8.330556481172943
1,10,2,3,12,100,8.400537634408602
1,10,2,3,12,1000,8.392077878482713
1,10,2,6,1,10,10.590527831907142
1,10,2,6,1,100,10.782833728703903
1,10,2,6,1,1000,11.383816766085333
1,10,2,6,3,10,8.429570934839417
1,10,2,6,3,100,8.322929671244278
1,10,2,6,3,1000,8.179290037624734
1,10,2,6,6,10,8.159934720522235
1,10,2,6,6,100,8.735150244584206
1,10,2,6,6,1000,7.76276975624903
1,10,2,6,12,10,8.618460742911315
1,10,2,6,12,100,8.695652173913043
1,10,2,6,12,1000,7.998720204767237
1,10,3,1,1,10,12.447254757963131
1,10,3,1,1,100,12.311783608091304
1,10,3,1,1,1000,12.26001029840865
1,10,3,1,3,10,8.715356458079135
1,10,3,1,3,100,8.830022075055188
1,10,3,1,3,1000,8.79971840901091
1,10,3,1,6,10,8.928571428571429
1,10,3,1,6,100,9.010632546404757
1,10,3,1,6,1000,9.192021325489476
1,10,3,1,12,10,9.379103357719002
1,10,3,1,12,100,9.525623928367308
1,10,3,1,12,1000,9.1726288754357
1,10,3,2,1,10,9.775171065493646
1,10,3,2,1,100,10.029889069426892
1,10,3,2,1,1000,9.899029895070283
1,10,3,2,3,10,8.012178511337233
1,10,3,2,3,100,8.400537634408602
1,10,3,2,3,1000,8.322929671244278
1,10,3,2,6,10,8.35142809420411
1,10,3,2,6,100,8.495454931611588
1,10,3,2,6,1000,8.485362749257531
1,10,3,2,12,10,8.755034144633164
1,10,3,2,12,100,9.061254077564335
1,10,3,2,12,1000,8.74202290410001
1,10,3,3,1,10,11.798574732172353
1,10,3,3,1,100,12.472560367192177
1,10,3,3,1,1000,11.496102821143632
1,10,3,3,3,10,8.704735376044567
1,10,3,3,3,100,8.353521009105338
1,10,3,3,3,1000,9.007386056566384
1,10,3,3,6,10,8.841732979664014
1,10,3,3,6,100,8.610297916307903
1,10,3,3,6,1000,8.857395925597874
1,10,3,3,12,10,9.170105456212747
1,10,3,3,12,100,8.758868354208635
1,10,3,3,12,1000,9.335324869305452
1,10,3,6,1,10,11.471705039520023
1,10,3,6,1,100,11.448196908986835
1,10,3,6,1,1000,11.701243842220428
1,10,3,6,3,10,8.64304235090752
1,10,3,6,3,100,8.791208791208792
1,10,3,6,3,1000,8.935751943526048
1,10,3,6,6,10,8.465966813410091
1,10,3,6,6,100,8.903133903133902
1,10,3,6,6,1000,8.77654906090925
1,10,3,6,12,10,9.036688957166094
1,10,3,6,12,100,9.081002542680713
1,10,3,6,12,1000,9.337940050424876
1,10,10,1,1,10,16.7664269067619
1,10,10,1,1,100,16.416587319827954
1,10,10,1,1,1000,16.590075816646483
1,10,10,1,3,10,13.162051174054964
1,10,10,1,3,100,13.101180416355515
1,10,10,1,3,1000,13.265062478444273
1,10,10,1,6,10,13.1837418096004
1,10,10,1,6,100,12.959747025738057
1,10,10,1,6,1000,13.311148086522463
1,10,10,1,12,10,14.006583094054205
1,10,10,1,12,100,13.868856096749141
1,10,10,1,12,1000,14.110741096122368
1,10,10,2,1,10,14.799467219180109
1,10,10,2,1,100,14.829974344144384
1,10,10,2,1,1000,14.726239213029775
1,10,10,2,3,10,11.885801221860365
1,10,10,2,3,100,11.894000666064036
1,10,10,2,3,1000,12.12385732644698
1,10,10,2,6,10,12.45298996289009
1,10,10,2,6,100,12.016631017327983
1,10,10,2,6,1000,11.974327042820192
1,10,10,2,12,10,12.959747025738057
1,10,10,2,12,100,12.622915641054771
1,10,10,2,12,1000,12.539184952978056
1,10,10,3,1,10,17.217927305910916
1,10,10,3,1,100,16.865681710854755
1,10,10,3,1,1000,16.558210388621198
1,10,10,3,3,10,13.631406761177754
1,10,10,3,3,100,13.941556993084987
1,10,10,3,3,1000,13.310085051443478
1,10,10,3,6,10,12.552563861168643
1,10,10,3,6,100,13.939030679806525
1,10,10,3,6,1000,12.845380159025806
1,10,10,3,12,10,13.965700240210046
1,10,10,3,12,100,13.582711924262798
1,10,10,3,12,1000,13.576995139435741
1,10,10,6,1,10,16.506825572374176
1,10,10,6,1,100,16.839269175717774
1,10,10,6,1,1000,16.374383913805243
1,10,10,6,3,10,13.71159040737135
1,10,10,6,3,100,13.28532901117296
1,10,10,6,3,1000,13.824184027537775
1,10,10,6,6,10,12.855949090441602
1,10,10,6,6,100,12.970000389100012
1,10,10,6,6,1000,13.152875876310356
1,10,10,6,12,10,13.129217761205787
1,10,10,6,12,100,13.63215006270789
1,10,10,6,12,1000,13.81711664409871
1,10,100,1,1,10,104.60251046025104
1,10,100,1,1,100,110.73461342546454
1,10,100,1,1,1000,113.87057470479053
1,10,100,1,3,10,107.22825679022935
1,10,100,1,3,100,107.89581580026326
1,10,100,1,3,1000,109.5434230128823
1,10,100,1,6,10,110.60478697518029
1,10,100,1,6,100,108.85538562020356
1,10,100,1,6,1000,108.23213628590601
1,10,100,1,12,10,104.74604321821742
1,10,100,1,12,100,107.76558829234648
