d1, d2, d3, $<throughput
2,32,5,10347.907249363318
2,64,5,9634.041019189786
3,1,5,17261.396712249905
3,2,5,14721.868047896392
3,4,5,13064.876679338213
3,8,5,11547.865974386159
3,16,5,10393.886622466745
3,32,5,9493.948551022511
3,64,5,8851.74204589342
4,1,5,15232.385724444262
4,2,5,13425.107201481344
4,4,5,11846.176490849204
4,8,5,10600.796959901241
4,16,5,9668.374447077267
4,32,5,9090.7755474163
4,64,5,8131.0243872619185
5,1,5,14695.56112656734
5,2,5,13045.834695390771
5,4,5,11674.709135820845
5,8,5,10513.255294154187
5,16,5,9781.036168698962
5,64,5,7906.630861815616
6,1,5,14403.620738624726
6,2,5,12950.037255230502
6,4,5,11673.253734331303
6,8,5,10904.10472052862
6,64,5,7800.147819977325
7,1,5,15311.126042946536
7,2,5,13230.496100611275
7,4,5,13151.92016042484
7,8,5,13021.919573371059
8,1,5,13266.239901669867
8,2,5,13742.11672840912
8,4,5,12816.39355768265
